user,class_id,parti_rate
mpunuk,36,1.0
guchenchen9393,36,1.0
ecyoung3,36,1.0
zzaman22,36,1.0
ewokoniad,36,1.0
clealauten,36,1.0
cacheuiuc,36,1.0
ewok,36,1.0
werkkdy2,36,1.0
oweimrin,36,1.0
jbeta95,36,1.0
zuojulia,36,1.0
eaallen,36,1.0
pjnick0,36,1.0
raugmoss1,36,1.0
ed.tir.1,36,1.0
elindgren,36,1.0
elliot.young1996,36,1.0
zhoffm,36,1.0
zhanshi,36,1.0
schiavone.emily,36,1.0
sho1123,36,1.0
dman5505,36,1.0
cglenno2,36,1.0
shenyuwu94,36,1.0
adiassasino,36,1.0
lgwarpinski,36,1.0
boycexu,36,1.0
hhardin2,36,1.0
dogkitter,37,0.5
paigegrett,37,1.0
apwc,37,1.0
jintao.chen.39,37,0.5
kthorn01,37,0.5
mnburke,37,0.5
wangyich,37,1.0
splovera,37,0.5
thomas.bajis,37,1.0
maureen.daum,37,1.0
sdoering,37,1.0
brettric,37,1.0
aronius,37,1.0
beyers,37,0.5
ldzuniga,37,1.0
nskr,37,1.0
bryan.eyers,37,1.0
alsholtz,37,1.0
ruilin,37,1.0
xiaofji,37,1.0
siyuchen,37,1.0
tzmz,37,0.5
balagnam,37,1.0
peterxsu,37,1.0
rlanigan,37,0.5
joshambr,37,1.0
mjs289,38,1.0
dxz136,38,1.0
ngt2,38,1.0
jmdegenova,38,0.5
jmdege,38,0.5
svenv,38,1.0
mattrandall1,38,1.0
kap90,38,1.0
sak140,38,0.5
wingking18,38,1.0
disserate,38,1.0
ove,38,1.0
tholomyes,38,1.0
jmw159,38,1.0
rsz13,38,0.5
bkb31,38,1.0
mmanspeak,38,1.0
tqn,38,1.0
ejw89,38,1.0
williampsmythe,38,0.5
rxf131,38,0.5
aaron.thompson.3517,38,0.5
anthonymartone,38,1.0
mah228,38,1.0
pliu1991,39,0.4444444444444444
engahmedamin88,39,0.6666666666666666
ansiyuan,39,0.1111111111111111
siyuan07,39,0.7777777777777778
elee4472,39,0.1111111111111111
changwoo.kim.50702,39,0.4444444444444444
shalineekavadiya,39,0.7777777777777778
jsimpher,39,0.6666666666666666
benjamin.leifer,39,0.6666666666666666
s.m.chintapalli,39,0.7777777777777778
toyetunde,39,0.8888888888888888
jxu0317,39,0.5555555555555556
bharat.k.suthar,39,0.5555555555555556
b.suthar,39,0.1111111111111111
clo,39,0.3333333333333333
c.martins,39,0.7777777777777778
syedusamaafzal,40,1.0
haroon13,40,1.0
roha.ansari,40,1.0
farhanmunir1292,40,0.5
sanaghaus,40,1.0
arslan.sarwar98,40,0.5
waleed.farrukh,40,1.0
mahammasood,40,1.0
qasimkhalidsandhu,40,1.0
haleema.parvaiz,40,1.0
muaaz1,40,0.5
doctor,40,0.5
aliharis9293,40,1.0
sdmarch,41,1.0
omar.badr.904,41,1.0
rlawogus03,41,0.5
liang.kelly,41,0.5
kellliangy,41,0.5
ksullivan1031,41,1.0
jskhan87,41,0.5
nitinprasad,41,0.5
gcossio14,41,0.5
keframe,41,1.0
allan442433634,41,0.5
wenfeng5000,41,0.5
ngoquangthongphucat,41,0.5
haokai1987,41,0.5
zhuwnthu,41,0.5
saralaji,42,0.5
mreckmann,42,1.0
shuoben,42,1.0
hrykaens,42,0.5
karimelgammal,42,0.5
yezhichao1028,42,0.5
kimonas,42,1.0
aarone,42,1.0
bellmanz,42,0.5
sethusaveda,42,1.0
zhichaoy,42,0.5
telliott,43,1.0
tictonk,43,1.0
liquidxskull,43,1.0
yang463,43,1.0
zhan1222,43,1.0
christinarosales,43,1.0
aislingcoughlan,43,1.0
davidjohnson50,43,1.0
jacob.haller.908,43,1.0
jcassady,43,1.0
bhattaca,43,1.0
jcompara,43,1.0
mbinkle,43,1.0
sboes,43,1.0
edantillon,43,1.0
hojin92,43,1.0
davidjohnson,43,1.0
juanca1200,44,1.0
daniela2317,44,1.0
juliandc,44,1.0
liquidxskull,44,1.0
salipe96,44,1.0
jhoanruiz,44,1.0
ronal741,44,1.0
anthonyhhh,44,1.0
directioner99,44,1.0
thania,44,1.0
cardyyankee2012,44,1.0
cynthiar32,45,0.5
vganapa,45,1.0
sawa,45,0.5
tbruttom,45,0.5
ahmed49,45,1.0
theresa.saenz.1,45,0.5
fiferj,45,0.5
thoma386,45,1.0
kaitlyn.fisher,45,0.5
campb122,45,1.0
astronut95,45,0.5
czy121301,45,1.0
qqxiaobai228,45,0.5
luray95,45,0.5
hallowj,45,0.5
ttgtarun,45,0.5
cohen.jakedavid,45,1.0
horner1,45,0.5
