semester,number of clusters,cluster id,users in each cluster,unique institutions,institution list
,,36,10,2,"['university of florida', 'george washington university']"
,,37,10,2,"['University of Mary Washington', 'university of calgary']"
,,38,10,2,"['mcgill university', 'massachusetts institute of technology (mit)']"
,,39,10,2,"['purdue university', 'portland state university']"
,,40,10,4,"['nanyang technological university', 'university of idaho', 'arizona state university', 'tyndall national institute']"
,,41,9,6,"['unsw', 'university of notre dame', 'ibm', 'university of naples federico ii', 'university of wisconsin-madison', 'northwestern university']"
,,42,8,0,[]
,,43,8,1,['purdue university']
,,44,8,2,"['massachusetts institute of technology (mit)', 'ybrant digital']"
,,45,8,3,"['university of illinois at urbana-champaign', 'johns hopkins university', 'university of wisconsin-madison']"
,,46,8,6,"['Florida Institute of Technology', 'columbia university in the city of new york', 'university of north carolina at chapel hill', 'national university of singapore', 'lappeenranta university of technology', 'the ohio state university']"
,,47,8,1,['southern illinois university']
,,48,8,1,['university of utah']
,,49,8,1,['the university of texas at el paso']
,,50,8,1,['purdue university']
,,51,7,1,['purdue university']
,,52,7,2,"['university of wisconsin-madison', 'Chippewa Valley Technical College']"
,,53,7,3,"['purdue university', 'northeastern university', 'penn state university']"
,,54,7,3,"['university of michigan', 'University of Mary Washington', 'university of calgary']"
,,55,6,1,['university of oulu']
,,56,6,2,"['brno university of technology', 'seznam.cz']"
,,57,6,1,['purdue university']
,,58,6,3,"['Chicago State University', 'ball state university', 'iupui']"
,,59,6,2,"['universitÃ\xa0 degli studi di palermo', 'arizona state university']"
,,60,6,2,"['purdue university', 'eni']"
,,61,6,3,"['university of kentucky', 'indian institute of technology, kharagpur', 'purdue university']"
,,62,6,3,"['the university of skÃ¶vde', 'Chicago State University', 'iupui']"
,,63,6,1,['university of illinois at urbana-champaign']
,,64,6,2,"['university of new mexico', 'massachusetts institute of technology (mit)']"
,,65,6,3,"['university of southern denmark', 'lawrence berkeley national laboratory', 'university of wisconsin-madison']"
,,66,6,3,"['ball state university', 'colorado state university', 'jordan university of science and technology']"
,,67,5,2,"['seznam.cz', 'brno university of technology']"
,,68,5,1,['university of michigan']
,,69,5,2,"['unc charlotte', 'purdue university']"
,,70,5,1,['the university of texas at el paso']
,,71,5,1,['massachusetts institute of technology (mit)']
,,72,5,2,"['brno university of technology', 'seznam.cz']"
,,73,5,1,['brno university of technology']
,,74,5,1,['purdue university']
,,75,5,1,['ucla']
,,76,5,2,"['brno university of technology', 'seznam.cz']"
,,77,5,3,"['arizona state university', 'yale new haven hospital', 'national chiao tung university']"
,,78,5,2,"['northwestern university', 'virginia tech']"
,,79,5,1,['cornell university']
,,80,5,1,['Norfolk State University']
,,81,5,0,[]
,,82,5,3,"['the university of texas at el paso', 'brno university of technology', 'seznam.cz']"
,,83,5,1,['university of bologna']
,,84,5,2,"['massachusetts institute of technology (mit)', 'Walden University']"
,,85,5,3,"['kth royal institute of technology', 'university of south florida', 'uc davis']"
,,86,5,2,"['West Virginia University', 'purdue university']"
,,87,5,1,['university of illinois at urbana-champaign']
,,88,5,1,['university of illinois at urbana-champaign']
,,89,5,3,"['purdue university', 'ieee', 'odessa national university']"
,,90,5,1,['kth royal institute of technology']
fall2010,81,1,244,1,['northwestern university']
,,2,109,2,"['university of illinois at urbana-champaign', 'illinois business consulting']"
,,3,107,16,"['the university of texas at el paso', 'massachusetts institute of technology (mit)', 'arizona state university', 'university of hamburg', 'cern', 'the university of british columbia', 'Wesleyan University', 'university of bologna', 'hampton university', 'university of nottingham', 'colorado school of mines', 'university of florida', 'isen', 'stanford university', 'university of warwick', 'university of illinois at urbana-champaign']"
,,4,52,2,"['purdue university', 'university of illinois at urbana-champaign']"
,,5,51,9,"['escuela de ingenierÃ\xada de antioquia', 'kaist', 'massachusetts institute of technology (mit)', 'jasvisio', 'arizona state university', 'university of wisconsin milwaukee', 'unc charlotte', 'university of puerto rico', 'purdue university']"
,,6,43,5,"['university of minnesota', 'Chicago State University', 'purdue university', 'national science foundation', 'cairo university']"
,,7,32,1,['the university of texas at el paso']
,,8,30,2,"['university of illinois at urbana-champaign', 'illinois business consulting']"
,,9,30,2,"['united business student senate', 'stanford university']"
,,10,27,1,['purdue university']
,,11,26,1,['kaist']
,,12,24,9,"['montana state university', 'university of louisville', 'universidad del quindÃ\xado', 'northwestern university', 'lawrence livermore national laboratory', 'eth zurich', 'intertox, inc.', 'university of wisconsin-madison', 'university of florida']"
,,13,23,2,"['ball state university', 'bilkent university']"
,,14,20,3,"['arizona state university', 'united business student senate', 'Harvard University']"
,,15,20,6,"[""cea - commissariat Ã\xa0 l'Ã©nergie atomique et aux Ã©nergies alternatives"", 'cornell university', 'massachusetts institute of technology (mit)', 'temple university', 'tohoku university', 'universidade federal de alfenas - unifal-mg']"
,,16,19,2,"['purdue university', 'iowa state university']"
,,17,19,1,['purdue university']
,,18,19,3,"['the university of texas at austin', 'national chiao tung university', 'globalfoundries']"
,,19,18,6,"['wright state university', 'stanford university', 'university of illinois at urbana-champaign', 'consiglio nazionale delle ricerche', 'chalmers university of technology', 'massachusetts institute of technology (mit)']"
,,20,18,8,"['Doane University Graduate and Professional Studies', 'centro nacional de metrologÃ\xada', 'oregon state university', 'national science foundation', 'karlsruhe institute of technology (kit) / university of karlsruhe (th)', 'the university of texas at austin', 'imec', 'university of naples federico ii']"
,,21,18,6,"['kth royal institute of technology', ""universitÃ\xa0 degli studi dell'insubria"", 'delphi', 'university of notre dame', 'purdue university', 'unam']"
,,22,17,2,"['northwestern university', 'stanford university']"
,,23,16,1,['northwestern university']
,,24,15,1,['university of illinois at urbana-champaign']
,,25,15,3,"['colorado school of mines', 'purdue university', 'University of Georgia']"
,,26,14,2,"['university of toronto', 'university of nevada las vegas']"
,,27,14,1,['purdue university']
,,28,14,2,"['university of pennsylvania', 'purdue university']"
,,29,13,3,"['purdue university', 'massachusetts institute of technology (mit)', 'university of texas - pan american']"
,,30,13,7,"['avago technologies', 'institut fÃ¼r angewandte photophysik (iapp) - tu dresden', 'ufrgs', 'the university of texas at el paso', 'stanford university', 'unsw', 'boston university']"
,,31,13,1,['kth royal institute of technology']
,,32,12,1,['northwestern university']
,,33,12,1,['arizona state university']
,,34,11,1,['university of technology sydney']
,,35,11,1,['northwestern university']
,,36,11,1,['kth royal institute of technology']
,,37,10,1,['university of texas - pan american']
,,38,10,2,"['colorado school of mines', 'rochester institute of technology']"
,,39,9,1,['northwestern university']
,,40,9,2,"['university of portland', 'purdue university']"
,,41,9,2,"['wright state university', 'University of Washington Seattle Campus']"
,,42,8,5,"['university of notre dame', 'georgia institute of technology', 'rensselaer polytechnic institute', 'intel corporation', 'purdue university']"
,,43,8,6,"['at&t', 'oregon state university', 'universidad autÃ³noma de madrid', 'purdue university', 'university of calabria', 'stanford university']"
,,44,8,1,['politÃ©cnico grancolombiano']
,,45,7,1,['the university of texas at el paso']
,,46,7,2,"['columbia university in the city of new york', 'Morgan State University']"
,,47,7,1,['university of illinois at urbana-champaign']
,,48,7,1,['northwestern university']
,,49,7,4,"['university of washington, program on the environment', 'northwestern university', 'University of Washington Seattle Campus', 'university of bristol']"
,,50,7,2,"['iupui', 'georgia institute of technology']"
,,51,7,1,['purdue university']
,,52,6,2,"['ntnu', 'university of california, san diego']"
,,53,6,1,['arizona state university']
,,54,6,2,"['purdue university', 'corning incorporated']"
,,55,6,2,"['university of illinois at urbana-champaign', 'university of virginia']"
,,56,6,1,['purdue university']
,,57,6,2,"['indiana university', 'university of southern california']"
,,58,6,1,['mcmaster university']
,,59,6,1,['the university of texas at el paso']
,,60,6,1,['university of illinois at urbana-champaign']
,,61,6,1,['university of bologna']
,,62,6,2,"['purdue university', 'portland state university']"
,,63,6,1,['southern illinois university']
,,64,6,3,"['university of colorado boulder', 'university of basel', 'louisiana state university']"
