,year_month,simtotal_track,clustered_track,clustered_m_track,clustered_x_track,clustered_mx_track,self_identified_track,self_track,researcher_track,self_study_day_1_users_date_track,self_study_day_2_7_users_date_track,self_study_day_8_30_users_date_track,self_study_day_31_90_users_date_track,self_study_day_91_180_users_date_track,self_study_day_181_365_users_date_track,self_study_years_users_date_track,all_researchers,clustered_track_per,self_identified_track_per,researcher_track_per,self_track_per,all_researchers_per
150,2012-07-01,11793,5984,1429,1225,3330,68,5611,471,2332,225,305,305,226,329,1860,539,49.31597164990934,0.5604087687489698,3.8816548541288944,46.24196472721279,4.442063622877864
151,2012-08-01,11955,6087,1452,1215,3420,65,5665,479,2362,242,301,308,222,331,1877,544,49.5039037085231,0.5286271958360442,3.8955757970071567,46.071893298633704,4.424202992843201
152,2012-09-01,12077,6200,1460,1236,3504,63,5672,490,2332,233,314,308,235,331,1898,553,49.899396378269614,0.5070422535211268,3.943661971830986,45.64989939637827,4.450704225352112
153,2012-10-01,12529,6672,1505,1320,3847,64,5657,489,2328,239,324,314,231,324,1874,553,51.793199813693526,0.4968172643999379,3.7959944108057755,43.91398851110076,4.292811675205713
154,2012-11-01,12499,6569,1488,1337,3744,67,5721,497,2379,247,336,316,235,315,1871,564,51.10471448576319,0.5212385249727711,3.866500700171153,44.50754628909289,4.387739225143924
155,2012-12-01,12390,6392,1513,1250,3629,68,5792,496,2434,261,336,318,234,325,1859,564,50.14119861939128,0.5334170065892689,3.8908064010040793,45.43457797301538,4.424223407593348
156,2013-01-01,12111,6139,1475,1187,3477,67,5765,496,2438,261,335,295,231,328,1855,563,49.24199887703538,0.537418785593968,3.9785032485762413,46.24207908879442,4.515922034170209
157,2013-02-01,12355,6316,1474,1312,3530,66,5829,500,2481,267,349,301,246,336,1827,566,49.68924553536307,0.519235308000944,3.93360081818897,45.857918338447014,4.452836126189914
158,2013-03-01,12775,6541,1472,1452,3617,62,6017,515,2589,280,352,341,250,349,1834,577,49.79824895317853,0.47202131709173967,3.9208222306813854,45.808907499048345,4.392843547773126
159,2013-04-01,12752,6519,1445,1420,3654,65,6013,514,2562,288,355,359,244,348,1833,579,49.72160781023568,0.4957669132789261,3.920372206544123,45.862253069941275,4.4161391198230495
160,2013-05-01,12522,6240,1438,1295,3507,63,6055,510,2623,310,358,337,239,339,1825,573,48.49238420889027,0.4895865713397575,3.9633198632266087,47.05470935654336,4.4529064345663665
161,2013-06-01,12424,6083,1443,1231,3409,65,6115,512,2671,323,356,333,240,348,1820,577,47.61643835616438,0.5088062622309198,4.007827788649706,47.86692759295499,4.516634050880626
162,2013-07-01,12420,6082,1484,1213,3385,64,6112,507,2665,337,361,314,227,355,1830,571,47.645906776341555,0.5013709361535448,3.9717978848413633,47.88092440266353,4.473168820994908
163,2013-08-01,12389,6008,1468,1223,3317,65,6160,492,2711,343,352,314,222,359,1834,557,47.214145383104125,0.5108055009823183,3.8664047151277012,48.40864440078585,4.3772102161100195
164,2013-09-01,12687,6222,1493,1259,3470,65,6245,497,2784,344,356,322,221,350,1842,562,47.75500805894543,0.49888709801212683,3.814567503261954,47.93153733978049,4.313454601274081
165,2013-10-01,13380,6873,1559,1384,3930,65,6286,505,2802,340,359,336,224,351,1848,570,50.06191273945662,0.4734503605506592,3.6783451088935832,45.78629179109913,4.1517954694442425
166,2013-11-01,13483,6915,1594,1376,3945,66,6343,511,2822,333,360,365,227,361,1849,577,49.98192988796531,0.47705095771593786,3.693530899891579,45.84748825442718,4.170581857607517
167,2013-12-01,13511,6939,1606,1351,3982,69,6350,502,2838,333,356,365,227,364,1843,571,50.06493506493507,0.49783549783549785,3.6219336219336222,45.81529581529581,4.11976911976912
