,nhid,username
1183,33547,rcszabo
1184,33550,dboe
1185,33553,aschroeder
1186,33556,mahimavijay
1187,33558,sshah
1188,33559,con863
1189,33560,nisha89
1190,33561,dangallegos
1191,33563,mcavanaugh
1192,33565,duranth
1193,33566,mspaic
1194,33568,mfernandez
1195,33569,gullom
1196,33570,mac210
1197,33571,kdimond
1198,33572,whiteboyy
1199,33573,bigbee15
1200,33574,almaswimfreak06
1201,33575,skumar
1202,33578,prozach0805
1203,33579,rcollier
1204,33581,enyatepecoo
1205,33591,amrita4
1206,33592,amrita5
1207,33598,aschwartz
1208,33599,sharrity
1209,33600,atsui
1210,33602,cen25ter
1211,33608,skhalid
1212,33612,kold1
1213,33613,readman1223
1214,33615,omargutierrez8
1215,33616,mkang
1216,33618,moni484
1217,33619,jboyle
1218,33620,veulo
1219,33623,ndeiters
1220,33629,mcousins
1221,33630,bhvide
1222,33631,ejensler
1223,33632,usman2012
1224,33633,bcw568
1225,33635,aaronjonesey
1226,33637,mhowell
1227,33638,cmcguffin
1228,33639,kllin2
1229,33641,mgajewsky
1230,33642,kodonnell
1231,33643,aft294
1232,33644,amclain
1233,33645,echang
1234,33647,cpeng
1235,33648,johnpaul
1236,33653,amrita7
1237,33655,amrita8
1238,33656,amrita9
1239,33657,mcarson
1240,33659,abakken
1241,33661,lfoley
1242,33668,chicken1214
1243,33672,mbartnovsky
1244,33673,benmackenzie
1245,33677,rthompson
1246,33678,mmccoy
1247,33681,ahiga
1248,33683,hallke
1249,33686,bwalsh
1250,33688,alove
1251,33689,adigianfilippo
1252,33691,btongson
1253,33692,elucks
1254,33693,anne8683
1255,33697,h_maksoud
1256,33701,estampler
1257,33703,bstasiak
1258,33706,lstrelec
1259,33708,npalmer
1260,33711,paulyim1
1261,33713,adamosborne2009
1262,33714,fmalik
1263,33715,dobrien
1264,33719,sstephens
1265,33721,agordon
1266,33722,rgonzales
1267,33726,mrovner
1268,33727,lfeig
1269,33733,aotieno
1270,33734,faithboman
1271,33735,vqv226
1272,33739,akushnir
1273,33741,masciutto
1274,33743,sbenjamin
1275,33745,wellsdm
1276,33746,manakaw
1277,33748,mutaz
1278,33771,mumbly_joe
1279,33772,clzhang
1280,33775,candelbm
1281,33778,rexhuang81
1282,33780,icmyselfinu
1283,33796,fhismail
1284,33803,jilopez
1285,33809,michaelfuh
1286,33823,phillijn
1287,33825,harshayejju
1288,33833,marshace
1289,33839,aschn
1290,33847,lebonilla2
1291,33856,wongf
1292,33857,mingchanglu
1293,33860,hoangt
1294,33870,wgannett
1295,33906,nnajdek
