user,ip,toolname,date,lon,lat
hem.metalia,172.249.129.237,nanocmos,2016-05-20,-117.92960357666016,33.869300842285156
amburan,132.178.160.218,matsimtk,2016-05-20,-116.24400329589844,43.45989990234375
amburan,132.178.160.218,oof2,2016-05-20,-116.24400329589844,43.45989990234375
hem.metalia,172.249.129.237,ffettool,2016-05-20,-117.92960357666016,33.869300842285156
ajmedfor,24.126.245.104,wulffman,2016-05-20,-83.95980072021484,33.939998626708984
dline9586,93.168.18.28,1dhetero,2016-05-20,46.7151985168457,24.65369987487793
joanavp,93.108.74.192,multimeter,2016-05-20,-8.786100387573242,38.38059997558594
diazdave25,71.104.78.196,carrierconc,2016-05-20,-97.8219985961914,37.750999450683594
dline9586,93.168.18.28,rtdnegf,2016-05-20,46.7151985168457,24.65369987487793
diazdave25,71.104.78.196,gnrinterconnect,2016-05-20,-97.8219985961914,37.750999450683594
joanavp,93.108.74.192,biolab,2016-05-20,-8.786100387573242,38.38059997558594
meeharba,95.175.81.73,spinprecession,2016-05-20,47.9827995300293,29.36590003967285
diazdave25,71.104.78.196,berkeleygw,2016-05-20,-97.8219985961914,37.750999450683594
kesitinhkhongduyen,91.236.30.229,dftqe,2016-05-20,39.71889877319336,47.23609924316406
mef231,128.227.214.65,nusimm,2016-05-20,-82.35690307617188,29.68400001525879
anaissia.franca,142.104.85.19,dualfoil,2016-05-20,-123.3655014038086,48.426700592041016
jencor,128.84.124.253,fnecalc1,2016-05-20,-76.48370361328125,42.4473991394043
zy1993,222.175.103.110,pvpanelsim,2016-05-20,120.37190246582031,36.09859848022461
jin52,112.2.243.56,workspace,2016-05-20,118.77780151367188,32.06169891357422
jjding,129.82.194.212,oommf,2016-05-20,-105.08439636230469,40.58530044555664
jjding,129.82.194.212,mif,2016-05-20,-105.08439636230469,40.58530044555664
light2,128.46.222.241,s4sim,2016-05-21,-86.91470336914062,40.42509841918945
procaddieprocaddie,82.1.146.20,meep,2016-05-21,-1.38919997215271,50.932098388671875
lee0513,180.102.100.18,ddaplus,2016-05-21,118.77780151367188,32.06169891357422
rkarthikeyan,80.227.246.209,gibbs,2016-05-21,54.0,24.0
saleemkqadir,106.192.39.189,nanofinfet,2016-05-21,76.72209930419922,30.68000030517578
lee547,180.102.108.156,ddaplus,2016-05-21,118.77780151367188,32.06169891357422
aaniljade.7058,117.211.61.80,gnrinterconnect,2016-05-21,92.71790313720703,23.728900909423828
prakashrout,111.93.238.66,cntfet,2016-05-21,77.0,20.0
mdhabib82,122.15.55.165,nanoenergytools,2016-05-21,77.0,20.0
mdhabib82,122.15.55.165,ucb_compnano,2016-05-21,77.0,20.0
habibnazir1,103.49.171.194,advte,2016-05-21,90.42790222167969,23.752500534057617
lin0804,180.102.96.142,ddaplus,2016-05-21,118.77780151367188,32.06169891357422
arindutta12345,103.244.13.34,opv,2016-05-21,90.38200378417969,23.746000289916992
chaitanyasagar21,103.232.241.5,nanowire,2016-05-21,78.4573974609375,17.384599685668945
bernhard.degraaff,79.220.240.232,oof2,2016-05-21,14.044699668884277,53.73789978027344
aaniljade.7058,117.211.61.64,gnrinterconnect,2016-05-21,92.71790313720703,23.728900909423828
zengf,137.226.158.228,abinit,2016-05-21,6.086100101470947,50.77450180053711
nvt1976,46.150.97.102,abinit,2016-05-21,30.523300170898438,50.45000076293945
zengfeng90,137.226.158.228,abinit,2016-05-21,6.086100101470947,50.77450180053711
aaniljade.7058,117.211.61.64,cnia,2016-05-21,92.71790313720703,23.728900909423828
rkarthikeyan,80.227.246.209,mdsim,2016-05-21,54.0,24.0
