,year_month,simtotal_track,clustered_track,clustered_m_track,clustered_x_track,clustered_mx_track,self_identified_track,self_track,researcher_track,all_researchers,clustered_track_per,self_identified_track_per,researcher_track_per,self_track_per,all_researchers_per
103,2008-08-01,16391,2322,534,596,1192,23,13613,664,687,13.969438094092169,0.13837083383467694,3.9947058115750207,81.89748526049814,4.133076645409698
104,2008-09-01,16661,2364,544,620,1200,24,13834,676,700,13.989821280624925,0.14202864244289265,4.000473428808142,81.86767664812405,4.142502071251036
105,2008-10-01,17084,2516,571,662,1283,24,14098,696,720,14.514826352832582,0.13845621322256838,4.015230183454483,81.33148725049037,4.153686396677051
106,2008-11-01,17758,2868,610,697,1561,26,14410,712,738,15.919182948490231,0.14431616341030196,3.952042628774423,79.98445825932504,4.096358792184724
107,2008-12-01,18208,3048,656,721,1671,28,14674,721,749,16.501542959233394,0.15158897731579232,3.903416165881652,79.44345189756916,4.0550051431974445
108,2009-01-01,18539,3160,698,733,1729,28,14887,732,760,16.802254479715,0.14888073589620884,3.892167809858032,79.15669697453076,4.04104854575424
109,2009-02-01,19251,3634,728,782,2124,30,15117,742,772,18.613942529324387,0.15366490805716335,3.80064539261384,77.4317471700046,3.954310300671003
110,2009-03-01,19785,3879,765,859,2255,30,15400,750,780,19.33795303853632,0.14955880153547035,3.738970038386759,76.77351812154146,3.888528839922229
111,2009-04-01,20382,4140,796,949,2395,31,15726,765,796,20.036782499274032,0.15003387861775241,3.7024489400832445,76.11073468202497,3.8524828187009965
112,2009-05-01,20823,4326,844,984,2498,32,15972,779,811,20.49362831019944,0.15159410677909896,3.6903690369036903,75.66440854611777,3.8419631436827895
113,2009-06-01,21116,4390,873,999,2518,34,16194,789,823,20.50731069276405,0.1588265520624095,3.6857102816835616,75.64815247348999,3.8445368337459707
114,2009-07-01,21402,4460,888,1014,2558,34,16406,794,828,20.558679819304874,0.1567253618512031,3.6599981561722137,75.6245966626717,3.8167235180234167
115,2009-08-01,21669,4556,904,1034,2618,34,16570,803,837,20.743978509311116,0.15480580977097846,3.6561489778263443,75.44506670309157,3.8109547875973226
116,2009-09-01,22032,4729,919,1091,2719,34,16754,814,848,21.176839371277595,0.15225471317898884,3.6451569566969684,75.02574895884645,3.7974116698759572
117,2009-10-01,22729,5182,952,1237,2993,36,16993,833,869,22.48741537927443,0.1562228779725742,3.614823815309842,73.74153792744316,3.7710466932824165
118,2009-11-01,23325,5530,995,1298,3237,37,17233,848,885,23.38464140730717,0.1564614343707713,3.585926928281461,72.8729702300406,3.7423883626522327
119,2009-12-01,23865,5835,1038,1337,3460,38,17463,859,897,24.11655300681959,0.15705724323207276,3.5503203141144866,72.17606943583384,3.7073775573465593
120,2010-01-01,24237,6005,1087,1352,3566,38,17660,868,906,24.439379756623662,0.1546538602417484,3.5326197549957263,71.87334662813886,3.687273615237475
121,2010-02-01,25118,6637,1125,1415,4097,39,17904,880,919,26.068342498036134,0.15318146111547526,3.456402199528672,70.32207384131972,3.609583660644148
122,2010-03-01,25852,7081,1206,1500,4375,41,18184,894,935,27.026717557251906,0.15648854961832062,3.4122137404580153,69.40458015267176,3.568702290076336
123,2010-04-01,26553,7463,1268,1576,4619,44,18498,903,947,27.735246023487438,0.16352014270848816,3.3558792924037464,68.74535454140033,3.5193994351122346
124,2010-05-01,27044,7619,1335,1597,4687,45,18822,913,958,27.80758421840213,0.164239570787255,3.3322384028614183,68.69593780794919,3.4964779736486733
125,2010-06-01,27586,7847,1393,1643,4811,47,19128,927,974,28.076138681169272,0.1681634405524348,3.316755518981001,68.4389423592973,3.4849189595334362
126,2010-07-01,28028,7974,1435,1658,4881,48,19435,938,986,28.0824088748019,0.16904384574749076,3.303398485648882,68.44514879380172,3.4724423313963726
127,2010-08-01,28422,8070,1479,1670,4921,49,19727,944,993,28.030566168808612,0.17019798541160125,3.2789162903786035,68.52031955540117,3.4491142757902047
128,2010-09-01,28812,8156,1512,1688,4956,50,20027,953,1003,27.94490509148222,0.17131501404783117,3.2652641677516616,68.61851572671829,3.436579181799493
129,2010-10-01,29597,8598,1585,1798,5215,51,20367,964,1015,28.67911941294196,0.17011340893929286,3.2154769846564375,67.93529019346231,3.3855903935957303
130,2010-11-01,30452,9051,1660,1865,5526,53,20763,972,1025,29.34920068744123,0.1718603067544343,3.1518531729303803,67.32708583287396,3.3237134796848142
131,2010-12-01,31266,9492,1790,1907,5795,54,21130,983,1037,29.98199564104994,0.17056761110584667,3.104962254019394,66.74247449382482,3.275529865125241
132,2011-01-01,31695,9625,1845,1920,5860,56,21416,994,1050,29.992832881493253,0.17450375494686984,3.0974416503069397,66.73522171325294,3.2719454052538093
133,2011-02-01,32296,9893,1921,2003,5969,56,21742,1007,1063,30.255673129855037,0.1712642975105511,3.079699064162946,66.49336350847148,3.250963361673497
